4.058609108133139909e-01,1.672482346328880709e+00
4.794875123047654952e-01,1.006631461946594142e+00
4.578524453088096968e-01,1.053279188534329558e+00
3.881310856287240041e-01,2.327837564607747378e+00
4.089219589559085488e-01,1.476840437542569218e+00
4.202673809461911492e-01,1.331667882795614322e+00
5.050435116370997068e-01,9.332671435019379569e-01
5.228809085889399855e-01,8.927874854286919071e-01
5.030753838412612700e-01,9.852176650964725724e-01
4.595926579240474097e-01,1.043060587401907213e+00
3.925848997444553179e-01,2.138882184555660704e+00
3.993937457336457775e-01,1.817269206404066528e+00
4.150564988221919771e-01,1.394975331923883566e+00
4.257559631440340220e-01,1.172786510968884865e+00
4.308461022922893124e-01,1.063438848676380388e+00
4.653849007168692209e-01,1.014244641106891276e+00
4.277284237618916296e-01,1.070215830744099872e+00
3.963523215115214438e-01,1.936699096145926058e+00
3.899989059322444551e-01,2.317677150543113296e+00
3.864698665178254999e-01,2.339208860207480978e+00
3.931693991801138433e-01,1.962933506114444393e+00
3.952295536885086502e-01,1.942162327527371835e+00
4.048324301527653768e-01,1.805884302837057032e+00
4.067051928468796707e-01,1.583430439934559120e+00
4.650233316479838730e-01,1.037799603727184383e+00
3.846820607196765884e-01,4.104925292488816879e+00
